Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Acorus calamus,Sweetflag,Perennial,Herb,Up to about 6 feet tall.,High,,,,,,,,Rush or Sedge,Low,4.0,10.0,Non-flowering,Non-flowering,No,4,Moderate,Rhizomatous,Erect,No Color,Deciduous,Wet,High,,,Medium,Moderate,"Spring, Summer",,No,,,/Low,Sprig,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies",Yes,Yes,Yes,Yes,,,,,,,,,,,,Herb (perennial),True,True,False,True,True,False
Acrostichum aureum,"Golden Leather Fern, Golden Leatherfern",,Herb,Fronds up to about 10 feet long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Acrostichum danaeifolium,"Giant Leather Fern, Inland Leather Fern, Giant Fern",Perennial,Fern,To about 12 feet in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Actaea alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Actaea cordifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Actaea elata,Tall Bugbane,,Herb,Up to about 6 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,False,True,False
Actaea pachypoda,"White Baneberry, Dolls Eyes",Perennial,Herb,Up to about 30 inches tall.,,Acidic (pH<6.8),"Various well-drained, humus-rich soils.",,,,yes,"Propagated by root division in early spring or fall, or by seed sown outside, 1/2"" deep, as soon as ripe. Seeds germinate the following year and flower the third.",Herbaceous perennial,Low,3.0,8.0,May,June,Yes,1.5–3,,,,,,Dry,,,,,,,,,,,,,High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths",Yes,Yes,,Yes,Yes,,,,,,,,,,,Herb (perennial),False,True,True,True,True,False
Actaea podocarpa,Mountain Bugbane,Perennial,Herb,Up to about 8 feet tall.,Medium,,,,,,,,,,,,,,Yes,2.5–4,,,,,,"Moist, Dry",,,,,,,,,,,,,Medium,Adult Food,Butterflies; Hummingbirds,,,,,,Yes,,,,,,,Yes,,,Herb (perennial),False,True,True,False,False,False
Actaea racemosa,Black Baneberry,Perennial,Herb,Up to about 8 feet tall.,,,,,,,,,Herbaceous perennial,Low,3.0,8.0,June,July,Yes,3–5,,,,,,Moist,,Medium,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Hummingbirds",Yes,Yes,,Yes,Yes,Yes,,,,Yes,,"Celastrina argiolus lucia/neglecta, Celastrina ladon, Celastrina neglectamajor",Yes,,,Herb (perennial),False,True,True,False,True,False
Actaea rubifolia,Appalachian Bugbane,,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Actaea rubra,Red Baneberry,Perennial,Herb,Up to about 3 feet tall.,,Acidic (pH<6.8),"Well-drained, humus-rich soils.",,,,yes,"Propagated by root division in early spring or fall, or by seed sown outside, 1/2"" deep, as soon as ripe. Seeds germinate the following year and flower the third year.",,,,,,,Yes,1.5–3,,,,,,"Moist, Dry",,Medium,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Larval Host (Moth)",Yes,Yes,,Yes,Yes,,,,,,Yes,Eupithecia strattonata,,,,Herb (perennial),True,True,True,False,True,False
Actinella acaulis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Actinomeris alternifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Adiantum capillus-veneris,"Southern Maidenhair Fern, Common Maidenhair Fern, Maidenhair Fern, Venus Hair Fern",Perennial,Fern,Height 6-20 inches.,"Medium , High",Alkaline (pH>7.2),"Moist, well-drained sand, loam or limestone. Can occur as an attached mass growing directly on rock outcroppings where moisture is present",,yes,,yes,Propagated by,Fern,Low,5.0,8.0,Non-flowering,Non-flowering,No,1.7,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Wet, Moist, Dry",High,,,Low,Moderate,"Spring, Summer",,No,,,Low/Low,"Seed, Bare root",None Known,,,,,,,,,,,,,,,,,,Herb (perennial),True,True,True,True,True,False
Adiantum pedatum,"Northern Maidenhair Fern, Maidenhair Fern",Perennial,Fern,Fronds up to about 30 inches long.,Medium,Circumneutral (pH 6.8-7.2),"Rich, moist, well-drained soils, mostly acidic but can tolerate some lime.",Provides shelter for toads and lizards.,yes,,yes,Easily propagated by,Fern,Low,3.0,8.0,Non-flowering,Non-flowering,No,1.3,Moderate,Rhizomatous,Semi-Erect,Color,Deciduous,"Moist, Dry",Medium,,,High,Moderate,"Spring, Summer",,No,Low,Medium,,"Container, Sprig",None Known,,,,,,,,,,,,,,,,,,Herb (perennial),True,True,True,False,True,False
Adiantum tenerum,"Fan Maidenhair Fern, Brittle Maidenhair Fern, Black-stick Maidenhair Fern",Perennial,Fern,To about 3-1/2 feet in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Adlumia fungosa,"Climbing Fumatory, Allegheny Vine, Mountain Fringe",Biennial,Vine,Climbing stems up to about 13 feet long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Adoxa moschatellina,"Muskroot, Hollowroot, Townhall Clock, Tuberous Crowfoot",,Herb,Up to about 10 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aeschynomene virginica,"Northern Jointvetch, Virginia Jointvetch",,Herb,"""To 1 m or more."" (bibref: 420).",,,,,,,,,,,,,,,,,,,,,,Wet,,,,,,,,,,,,,Medium,Adult Food,Native Bees; Bombus,Yes,Yes,,,,,,,,,,,,,,Herb (annual),False,False,False,False,False,False
Aesculus × carnea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Aesculus californica,California Buckeye,Perennial,Shrub,"Height 15-40 feet, spread 30-60 feet.",Medium,,"Poor, dry soils.","Chipmunks and squirrels consume the seeds, but bees are poisoned by the",yes,,yes,Fall-sown seeds germinate easily without pretreatment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True
Aesculus flava,"Yellow Buckeye, Sweet Buckeye",Perennial,Tree,Up to about 75 feet tall.,High,Circumneutral (pH 6.8-7.2),"Rich, moist, well-drained soils.",Squirrels eat the nuts.,,,yes,"Either stratify the seed or plant fresh seed in the fall, 2 in. deep, allowing it to naturally stratify during the winter.",Tree,Medium,4.0,8.0,April,May,Yes,50–90,Long,Single Stem,Erect,Color,Deciduous,"Moist, Dry",High,Medium,,High,Moderate,"Spring, Summer",,Yes,Low,Low,Low/,"Seed, Container, Bare root",Medium,Adult Food; Larval Food,Native Bees; Larval Host (Moth); Hummingbirds,Yes,,,,,,,,,,Yes,"Cameraria aesculisella, Hyalophora cecropia, Hyphantria cunae, Orgyia leucostigma",Yes,,,Tree,True,True,True,False,True,False
Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Perennial,Tree,"Up to about 75 feet tall, often shorter.",Medium,Acidic (pH<6.8),"Rich, moist, well-drained soils.",Squirrels eat seeds. Hummingbirds are attracted to the flowers.,yes,,yes,Sow seeds in fall.,Tree,Medium,3.0,7.0,April,May,Yes,65–100,Short,Single Stem,Erect,Color,Deciduous,"Moist, Dry",Medium,,,Medium,Rapid,"Spring, Summer",,Yes,Medium,Low,Low/Low,"Seed, Container, Bare root",High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Moth); Hummingbirds",Yes,Yes,,Yes,,,,,,,Yes,"Amyelois transitella, Cameraria aesculisella, Hyphantria cunae, Lophocampa caryae, Orgyia leucostigma, Zeiraphera claypoleana",Yes,,,Tree,True,True,True,False,True,False
Aesculus parviflora,Bottlebrush Buckeye,Perennial,Shrub,,,,"Moist, well-drained, shallow soils over limestone or loamy sands.",Flowers attract hummingbirds and butterflies.,yes,,yes,Seeds should be planted as soon as possible after they are collected and never allowed to dry out. Softwood cuttings under mist root in fair percentages. The commercial method of propagating bottlebrush buckeye is root cuttings.,Deciduous shrub,Low,4.0,8.0,June,July,Yes,6–12,,,,,,Moist,,,,,,,,,,,,,Medium,Adult Food,Bombus; Butterflies; Hummingbirds,,Yes,,,,Yes,,,,,,,Yes,,,Shrub,False,True,True,False,True,False
Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Perennial,Shrub,"10-40 feet, Texas specimens usually on the short end of that range, with those in central Texas commonly no more than 15 feet.","Medium , High","Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Deep, well-drained sand, loam, clay, limestone. Variety",Flowers attract hummingbirds and bees. Nuts consumed by squirrels.,yes,,yes,"Sow untreated seeds promptly in loose, rich, well-drained soil.",Deciduous shrub,Medium,4.0,8.0,April,May,Yes,6–40,Long,Single Stem,Erect,No Color,Deciduous,"Wet, Moist, Dry",High,,,Medium,Moderate,"Spring, Summer",Low,Yes,Low,Low,Low/Low,"Seed, Container, Bare root",High,Adult Food; Larval Food,Native Bees; Bombus; Larval Host (Moth); Hummingbirds,Yes,Yes,,,,,,,,,Yes,Archips rileyana,Yes,,,"Tree, Shrub",True,True,True,False,True,False
Aesculus sylvatica,Painted Buckeye,Perennial,Shrub,"Usually shrub-like, up to about 15 feet tall. Sometimes grows as a",,,,,,,,,Deciduous shrub,Medium,7.0,8.0,April,May,Yes,6–25,Long,Single Stem,Erect,Color,Deciduous,"Wet, Moist, Dry",High,Medium,,High,Moderate,"Spring, Summer",,Yes,Low,Low,Low/,"Seed, Container, Bare root",Medium,Adult Food,Native Bees; Hummingbirds,Yes,,,,,,,,,,,,Yes,,,"Tree, Shrub",False,True,True,False,True,False
Agalinis fasciculata,Beach False Foxglove,Annual,Herb,"Up to about 6 feet tall, often shorter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agalinis harperi,"Harper's False Foxglove, Coastal Plains False Foxglove",Annual,Herb,To about 30 inches in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,False
Agalinis linifolia,Flaxleaf False Foxglove,Perennial,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agalinis maritima,Saltmarsh False Foxglove,Annual,Herb,Up to about 16 inches tall.,,,,,,,,,,,,,,,,,,,,,,Wet,,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",Yes,,,Yes,,Yes,,,,Yes,,"Junonia coenia, Junonia evarete",,,,Herb (annual),False,False,False,False,False,False
Agalinis obtusifolia,"Tenlobe False Foxglove, Ten-lobe False Foxglove, Blunt-leaf False Foxglove",,Herb,Up to about 2 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agalinis purpurea,"Purple False Foxglove, Purple Gerardia, Gerardia",Annual,Herb,Up to about 4 feet tall.,,,Sandy,,,,,,,,,,,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",Yes,Yes,,Yes,,Yes,,,,Yes,,Junonia evarete,,,,Herb (annual),True,True,True,True,True,False
Agalinis setacea,Threadleaf False Foxglove,Annual,Herb,Up to about 28 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agalinis skinneriana,Skinner's False Foxglove,Annual,Herb,Up to about 2 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agalinis tenuifolia,Slenderleaf False Foxglove,Annual,Herb,Up to about 3 feet tall.,Medium,,,,,,,,Annual,Medium,2.0,11.0,August,October,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,Herb (annual),True,True,False,False,True,False
Agarista populifolia,"Florida Hobblebush, Tall Fetterbush, Florida Leucothoe, Agarista",Perennial,Shrub,"Up to about 20 feet tall, often shorter.",,,"Cool, moist, acid, fertile soil.",,,,yes,Easily rooted from cuttings in late summer or fall.,,,,,,,,,,,,,,Wet,,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Zomaria interruptolineana,,,,Shrub,False,False,True,False,False,False
Agastache cana,"Mosquito Plant, Mosquito-plant, Texas Hummingbird Mint",Perennial,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agastache foeniculum,"Blue Giant Hyssop, Blue Giant-hyssop, Fragrant Giant Hyssop, Lavender Hyssop, Anise Hyssop",Perennial,Herb,Up to about 4 feet tall.,,,"Sandy, well-drained soils",,,yes,yes,Very easy to start from seed. Divide plant in spring or fall.,Herbaceous perennial,Medium,4.0,8.0,June,September,Yes,2–4,,,,,,Dry,,,Medium,,,,,,,,,,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,,,"Shrub, Herb (perennial)",True,True,True,False,True,True
Agastache nepetoides,Yellow Giant Hyssop,Perennial,Subshrub,Up to about 6 feet tall.,Medium,,,,,,,,Herbaceous perennial,Low,2.0,8.0,July,September,Yes,2–4,,,,,,"Moist, Dry",,,Medium,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Butterfly); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Celastrina argiolus lucia/neglecta,Yes,,,"Shrub, Herb (perennial)",True,True,False,False,True,False
Agastache pringlei,"Pringle's Giant Hyssop, Pringle's Giant-hyssop, Organ Mountains Giant Hyssop",,Herb,Up to about 30 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agastache rupestris,"Threadleaf Giant Hyssop, Thread-leaf Giant-hyssop",,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agastache scrophulariifolia,"Purple Giant Hyssop, Purple Giant-hyssop",Perennial,Herb,Up to about 5 feet tall.,,,"Rich, moist soils",,,yes,yes,,,,,,,,Yes,2–6,,,,,,Dry,,,,,,,,,,,,,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,"Shrub, Herb (perennial)",True,True,True,False,True,False
Agastache urticifolia,"Nettleleaf Giant Hyssop, Nettle-leaf Horsemint",,Subshrub,Up to about 5 feet tall.,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False
Agave americana,"American Century Plant, Century Plant",Perennial,Cactus/Succulent,Up to about 6 feet tall without flower stalk.,Low,,"Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Rocky Soil","Nectar-hummingbirds, Nectar-insects, Seeds-granivorous birds, Seeds-Small mammals, protective habitat plant for birds and small animals",yes,,yes,"Division by offshoot of ""pups"", seed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agave asperrima,"Maguey Cenizo, Rough Agave, Rough Century Plant",,Herb,Up to about 3 feet tall by 6 feet wide. Bloom stalk up to about 22 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agave decipiens,False Sisal,Perennial,Herb,Up to 15 feet in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agave deserti,"Desert Agave, Desert Century Plant, Century Plant",,Cactus/Succulent,Up to about 2 feet tall by 6 feet wide when not flowering. Flower stalk up to about 9 feet tall.,Low,,"Dry, rocky soils.",,,,yes,Sow seed or use offsets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agave lechuguilla,"Lechuguilla, Tula Ixtle, Maguey Lechuguilla, Shindagger",Perennial,Cactus/Succulent,Up to about 2 feet tall when not flowering. Flower stalk up to about 15 feet tall.,Low,,"Dry, rocky, limestone soils.","The plant reproduces by putting out offshoots, which are often eaten by deer and javelinas.",yes,,yes,"Fresh, untreated seed. Young plants, which grow around the base of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agave maculata,"False Aloe, Spice Lily, Spice-lily",Perennial,Cactus/Succulent,5-8 inches tall.,Medium,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,True,True
Agave murpheyi,"Hohokam Agave, Murphey Agave, Murphey's Century Plant",,Herb,Up to about 4 feet tall by 5 feet wide. Bloom stalk up to about 12 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agave parryi,"Parry's Agave, Century Plant, Parry Agave",Perennial,Cactus/Succulent,,Low,,"Dry, rocky soils.",,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agave scabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agave shawii,"Coastal Agave, Boundary Century Plant, Shaw's Century Plant",Perennial,Cactus/Succulent,,Low,,"Dry, rocky soils.",,,,yes,Sow seed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agave univittata,"Thorncrest Century Plant, Maguey Mezortillo",Perennial,Herb,,Low,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agave utahensis,Utah Agave,,Subshrub,,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,True
Agave variegata,"Mottled Tuberose, Huaco, Texas Tuberose",Perennial,Cactus/Succulent,Leaves up to about 18 inches long. Flower,Low,,"Acid-based, Calcareous, Sandy, Medium Loam, Sandy Loam, Clay Loam
Clay","Nectar-moths, Seeds-granivorous birds, Seeds-Small mammals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Agave virginica,"False Aloe, Rattlesnake Master",Perennial,Cactus/Succulent,,,,"Dry, sterile, sometime alkaline soils.",Pollinated by sphinx moths.,yes,,yes,Can be propagated by seed.,Herbaceous perennial,Low,6.0,9.0,July,October,Yes,,,,,,,,,,,,,,,,,,,,Low,Nesting and Structure (Bees),Nesting and Structure (Bees),,,,,,,,Yes,,,,,,,,"Shrub, Herb (perennial)",True,True,False,False,True,True
Ageratina altissima,White Snakeroot,Perennial,Herb,"Up to about 4 feet tall, often shorter.",Low,,,,,,,,Herbaceous perennial,Medium,3.0,8.0,September,To frost,,,,,,,,Dry,,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,,Yes,Yes,,,,,,,Yes,"Haploa clymene, Leucospilapteryx venustella, Melanchra adjuncta, Samia cynthia cynthia",,,,Herb (perennial),True,True,False,True,True,True
Ageratina aromatica,"Lesser Snakeroot, Small-leaf Snakeroot, Small-leaved Snakeroot, Small White Snakeroot, Aromatic Snakeroot, Fragrant Snakeroot, Aromatic Thoroughwort, Fragrant Thoroughwort",Perennial,Herb,About 2 feet in height. Individual specimens may reach 3 feet in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Ageratum corymbosum,Flat-Top Whiteweed,,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Agoseris glauca,"Pale Agoseris, Pale Mountain Dandelion, False Dandelion",Perennial,Herb,Up to about 2 feet tall when flowering.,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False
Agrimonia gryposepala,"Tall Hairy Agrimony, Agrimony",Perennial,Herb,Up to about 5 feet tall.,Medium,,,,,,,,,,,,,,No,6,Moderate,Single Stem,Erect,No Color,Deciduous,"Wet, Moist, Dry",Medium,,,Low,Moderate,Spring,,No,Low,,Low/Low,"Seed, Bare root",Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Anacampsis agrimoniella,,,,Herb (perennial),True,True,True,False,True,False
Agrimonia parviflora,"Harvest Lice, Small-flowered Agrimony, Southern Agrimony, Swamp Agrimony",Perennial,Herb,"Up to about 6 feet tall, often shorter.",,,,,,,,,,,,,,,Yes,6,Short,Multiple Stem,Erect,No Color,Deciduous,"Wet, Moist",High,,,Low,Rapid,"Spring, Summer",Low,No,Low,Low,Low/Low,"Seed, Container, Bare root",Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,Tischeria agrimoniella,,,,Herb (perennial),True,True,False,False,False,False
Agrimonia pubescens,"Downy Agrimony, Soft Agrimony, Hairy Agrimony",Perennial,Herb,,,,,,,,,,,,,,,,,1.5–2,,,,,,Moist,,,,,,,,,,,,,Low,Adult Food,Native Bees,Yes,,,,,,,,,,,,,,,Herb (perennial),False,True,True,False,False,False
Agrimonia striata,Roadside Agrimony,Perennial,Herb,Up to about 4-1/2 feet tall.,Medium,,,,,,,,,,,,,,Yes,6,Short,Rhizomatous,Erect,No Color,Deciduous,Dry,Medium,,,Medium,Moderate,"Spring, Summer",,No,Medium,Low,Low/Low,Seed,Low,Adult Food,Native Bees,Yes,,,,,,,,,,,,,,,Herb (perennial),True,True,True,False,False,False
